bilayers,$\epsilon_{r}$,"$\overline{MV}_{int, NN}$",$\overline{M}_{int}$,$\overline{IE}_{int}$,PF,"$\overline{\alpha}_{int, NN}$",$\overline{BL}_{max}$,"$\overline{N}_{p, v}$",$\overline{BL}_{min}$,"$\overline{Gr}_{int, NN}$",a,$\overline{\kappa}_{int}$,"$\overline{C}_{int}^{p, g}$",$\rho$,"$\overline{P}_{int, NN}$",Y_Corr
BMDS_ZrO2-ZrO2_724,1.795904,0.0391126049,191.6806348469,4595.7880679813,1.4359622787,373.2175864629,1.2164536267,2.6666666667,0.5670927702,41.9738616453,3.4978218038,0.0009353176,3.2110004159,16.8784327001,10.4934654113,0.082
BMDS_SeSbI-ISbSe_133,5.123056,0.000031294,1612.423005618,4203.0951502267,1.9208786789,42.0976408343,1.1682809256,4,0.6833150102,8.3361665018,4.1680832509,0.0187146938,0.8919698157,34.1123382877,0,0.164
BMDS_Al2S2-Al2S2_592,3.148194,2.27991255104868E-05,1389.9950366174,3577.708926261,2.0726942603,137.4389983678,1.2402018571,2.5,0.7597981429,10.7374217475,3.5791405825,0.0096278882,2.5340315324,16.4288947143,0,0.015
BMDS_TeNbS-SNbTe_119,16.489878,1.95017129438277E-05,1372.2930311406,3532.1457254304,2.4898749358,277.7377491185,1.1555667163,2.6666666667,0.7025794246,38.86915064,3.5335591491,0.0095052741,2.5017598776,36.7015595944,7.0671182982,0.001
BMDS_AsNbSb-SbNbAs_124,24.425167,0.000024969,3074.4547259479,2837.0789809915,3.0054005524,187.0975347177,1.1273979505,2,0.7539258197,34.017733585,3.4017733585,0.8266309261,0.7041670852,45.2892665258,0,1.845
BMDS_AsNbBi-BiNbAs_154,16.240663,3.65962220038739E-05,1892.5603931708,2443.9198317397,3.2807434324,173.8207561693,1.1306691363,2,0.7513066689,34.7641512339,3.4764151234,0.2735938702,0.4241226451,56.5535253298,3.4764151234,0.099
BMDS_Ru2S2-Ru2S2_584,18.628104,2.83911096469127E-05,1346.2724471887,3465.1713312642,2.3790088254,182.3409484039,1.2572206172,2,0.7427793828,27.7324636356,3.4665579544,0.0093250409,2.4543230317,39.274091504,6.9331159089,0.391
BMDS_ZnS2-ZnS2_721,1.994396,2.14757691502553E-05,1158.5400343372,2981.9667790798,2.1192442229,57.4854940305,1.1240338877,2.6666666667,0.7519322245,11.9326401724,2.9831600431,0.0080247005,2.1120773105,24.3989233819,2.9831600431,1.059
BMDS_SnTe2-SnTe2_447,9.812419,1.73684942736707E-05,2981.3577367722,3586.3259078627,2.4075574658,61.8829962245,1.1531041972,3.3333333333,0.6937916057,8.2510661633,4.1255330816,0.0969500274,0.8333576825,41.8040180414,0,1.306
BMDS_TeZrS-SZrTe_298,9.015955,8.80819324248175E-06,1456.2579513198,3748.2630758556,2.6002055718,347.228052045,1.1519644787,2.6666666667,0.7128534344,44.9971557726,3.749762981,0.0100868624,2.6548321906,34.6300208681,7.4995259621,0.175
BMDS_SbWAs-AsWSb_113,20.419776,0.000011422,3524.9161046223,3062.4729826397,3.0640238507,122.8869834639,1.1189566571,2,0.7668848145,29.104811873,3.2338679859,1.6234017289,1.0639425674,65.7482716931,6.4677359718,0.701
BMDS_SnS2-SnS2_707,2.519203,4.57698733291142E-07,1469.0238021566,3781.1211057672,1.4742784275,127.0965077569,1.1715994073,3.3333333333,0.6568011854,7.5652683189,3.7826341594,0.0101752859,2.6781049849,21.1659661872,7.5652683189,0.031
BMDS_GaI2-GaI2_496,4.55701,5.61021208478735E-05,1563.6243119597,4075.8918345098,2.21489287,69.1171661743,1.132771026,3.6666666667,0.7344579481,16.1677581694,4.0419395424,0.0181483085,0.8649750621,36.9646419057,4.0419395424,0.133
BMDS_BiS2-BiS2_375,4.929469,1.95385065760567E-05,1515.1706097998,3899.8983972497,1.9695293184,111.5817268521,1.1654233811,3.6666666667,0.6691532378,3.9014589808,3.9014589808,0.0104949247,2.7622329584,34.9797110962,11.7043769425,0.126
BMDS_ClBiSe-SeBiCl_275,3.551055,2.00987723245064E-05,1992.5333189457,3795.4936298135,1.9891755889,77.0392437082,1.1445487277,4,0.7164631708,4.033468257,4.033468257,0.0822827524,1.2947433105,38.5400107103,8.066936514,0.188
BMDS_IrH2-IrH2_505,4.532693,0.0306133974,38.2889179404,3585.6574116895,1.705448247,135.2629133207,1.175335868,0,0.6493282642,21.8637647054,2.7329705882,0.0049603416,39.0924112933,52.7034570119,13.6648529409,0.011
BMDS_ClAsTe-ClAsTe_3,4.975058,0.0216887484,1759.1726770826,4171.4106207967,1.5556063879,46.0320719296,1.1718705432,4,0.6593181539,5.9015476833,3.9343651222,0.0464038694,1.3396513241,27.8742215131,3.9343651222,0.104
