bilayers,PF,$\overline{EA}_{int}$,"$\overline{N}_{p, v}$",$\overline{Gr}_{int}$,A,$\overline{\alpha}_{int}$,d$_{layer}$,"$\overline{M}_{int, NN}$",$\rho$,"$\overline{C}_{int}^{p, g}$","$\overline{MV}_{int, NN}$","$\overline{AM}_{int, NN}$",Y_vdw
BMDS_MoSb2-MoSb2_409,4.0989225194,341.9932855714,2,49.7083263912,9.5107585859,142.4972023214,4.08534,6601.9948002031,60.310585227,0.6859749042,2.9321284793947E-05,85.5645991614,2.71664
BMDS_NiSe2-NiSe2_416,2.2314741324,690.6397732915,2.6666666667,56.6678788342,10.8635502808,102.3563561442,2.47725,4370.5101550858,34.8262899483,1.1368993191,3.46913670737971E-05,70.9297672398,1.945511
BMDS_Tl2S2-Tl2S2_614,4.188123824,814.5576269412,2.5,65.1646101553,14.3652313932,79.0120898133,5.29459,768.2907537309,49.9515430606,2.8835339994,3.42114203315305E-06,701.8159276327,1.619387
BMDS_SeTaS-STaSe_90,2.1441727044,688.5627837874,2.6666666667,55.085022703,10.2648213145,66.7905900274,3.17983,9989.8065797444,44.5601410321,2.4375122546,1.8797763997396E-05,512.5761204117,1.995739
BMDS_VSb2-VSb2_461,4.0492688846,333.0296664804,2,48.4054747791,9.0184682633,138.7623610335,4.15045,4128.0834297973,55.2347474964,0.667995552,3.17572184867612E-05,228.5335410431,2.957239
BMDS_GeI2-GeI2_392,1.9360587672,1269.488941035,4,73.1074254661,16.0160723957,141.4843704609,3.48955,3545.9251569459,33.670974557,0.9202934735,5.17901602875493E-05,236.3520060951,1.051494
BMDS_PdSe2-PdSe2_428,2.0944533576,728.1534011786,2.6666666667,59.7459200967,12.0756179702,107.9160681747,2.62074,4981.502794063,37.9345033998,1.1986525219,2.81365942455415E-05,102.538935366,2.110936
BMDS_TeNbS-TeNbS_59,2.4898749358,689.3973899875,2.6666666667,56.5369463854,10.8129754941,101.4131475789,3.35722,7754.3602170865,36.7015595944,1.6077694128,2.67260746241422E-05,167.5604914601,2.274134
BMDS_IAsSe-IAsSe_183,1.9289523592,937.7461853041,4,63.1285681661,12.6769365404,118.2225912929,3.66428,2485.2569494855,37.1105921488,1.0234479991,3.04356218037288E-05,108.498496211,1.378868
BMDS_InAs-InAs_743,1.5722344361,233.2033086336,2,61.082251092,16.4854942318,207.2433519194,0.65804,1440.3412958401,22.5481534359,1.2260080398,5.72646103987913E-06,87.0343543739,0.483585
BMDS_Li2Ni-Li2Ni_507,5.8384902138,158.4821505648,0,2.659096486,6.1234104187,436.3909720564,3.91503,3388.5132430568,19.6289573492,9.5248836128,0.000016965,138.2522763187,4.091294
BMDS_RuH2-RuH2_539,1.6002177381,193.9318709988,0,2.6638993269,6.1458020769,12.0061942664,2.14424,6907.464315674,29.3477516852,38.1044159721,0.0298405474,266.5553608388,1.977074
BMDS_RuBr2-RuBr2_434,1.8494394085,1226.4641294993,3.3333333333,64.2325637754,12.3636841044,79.3461081931,2.62418,8845.9575477009,36.5098776985,1.7909550135,6.5895053661329E-05,79.9733202865,1.632589
